binom,Family,m.wing.color,pruinosity
Aeshna_canadensis,Aeshnidae,n,n
Aeshna_clepsydra,Aeshnidae,n,n
Aeshna_constricta,Aeshnidae,n,n
Aeshna_eremita,Aeshnidae,n,n
Aeshna_interrupta,Aeshnidae,n,n
Aeshna_juncea,Aeshnidae,n,n
Aeshna_palmata,Aeshnidae,n,n
Aeshna_persephone,Aeshnidae,n,n
Aeshna_septentrionalis,Aeshnidae,n,n
Aeshna_sitchensis,Aeshnidae,n,n
Aeshna_subarctica,Aeshnidae,n,n
Aeshna_tuberculifera,Aeshnidae,n,n
Aeshna_umbrosa,Aeshnidae,n,n
Aeshna_verticalis,Aeshnidae,n,n
Aeshna_walkeri,Aeshnidae,n,n
Anax_amazili,Aeshnidae,n,n
Anax_concolor,Aeshnidae,n,n
Anax_junius,Aeshnidae,n,n
Anax_longipes,Aeshnidae,n,n
Anax_walsinghami,Aeshnidae,n,n
Aphylla_angustifolia,Gomphidae,n,n
Aphylla_protracta,Gomphidae,n,n
Aphylla_williamsoni,Gomphidae,n,n
Arigomphus_cornutus,Gomphidae,n,n
Arigomphus_furcifer,Gomphidae,n,n
Arigomphus_lentulus,Gomphidae,n,n
Arigomphus_maxwelli,Gomphidae,n,n
Arigomphus_pallidus,Gomphidae,n,n
Arigomphus_submedianus,Gomphidae,n,n
Arigomphus_villosipes,Gomphidae,n,n
Basiaeschna_janata,Aeshnidae,y,n
Boyeria_grafiana,Aeshnidae,n,n
Boyeria_vinosa,Aeshnidae,y,n
Brachymesia_furcata,Libellulidae,n,n
Brachymesia_gravida,Libellulidae,y,y
Brachymesia_herbida,Libellulidae,y,n
Brechmorhoga_mendax,Libellulidae,n,n
Brechmorhoga_pertinax,Libellulidae,n,n
Brechmorhoga_praecox,Libellulidae,n,n
Cannaphila_insularis,Libellulidae,n,y
Celithemis_amanda,Libellulidae,y,n
Celithemis_bertha,Libellulidae,y,n
Celithemis_elisa,Libellulidae,y,n
Celithemis_eponina,Libellulidae,y,n
Celithemis_fasciata,Libellulidae,y,y
Celithemis_martha,Libellulidae,y,y
Celithemis_ornata,Libellulidae,y,n
Celithemis_verna,Libellulidae,y,y
Cordulegaster_bilineata,Cordulegastridae,n,n
Cordulegaster_diadema,Cordulegastridae,n,n
Cordulegaster_diastatops,Cordulegastridae,n,n
Cordulegaster_dorsalis,Cordulegastridae,n,n
Cordulegaster_erronea,Cordulegastridae,n,n
Cordulegaster_maculata,Cordulegastridae,n,n
Cordulegaster_obliqua,Cordulegastridae,n,n
Cordulegaster_sarracenia,Cordulegastridae,n,n
Cordulegaster_sayi,Cordulegastridae,n,n
Cordulegaster_talaria,Cordulegastridae,n,n
Cordulia_shurtleffii,Corduliidae,y,n
Coryphaeschna_adnexa,Aeshnidae,n,n
Coryphaeschna_ingens,Aeshnidae,n,n
Crocothemis_servilia,Libellulidae,y,n
Didymops_floridensis,Macromiidae,n,n
Didymops_transversa,Macromiidae,y,n
Dorocordulia_lepida,Corduliidae,n,n
Dorocordulia_libera,Corduliidae,n,n
Dromogomphus_armatus,Gomphidae,n,n
Dromogomphus_spinosus,Gomphidae,n,n
Dromogomphus_spoliatus,Gomphidae,n,n
Dythemis_fugax,Libellulidae,y,n
Dythemis_maya,Libellulidae,y,n
Dythemis_nigrescens,Libellulidae,n,y
Dythemis_velox,Libellulidae,y,n
Epiaeschna_heros,Aeshnidae,n,n
Epitheca_canis,Corduliidae,y,n
Epitheca_costalis,Corduliidae,y,n
Epitheca_cynosura,Corduliidae,y,n
Epitheca_petechialis,Corduliidae,n,n
Epitheca_princeps,Corduliidae,y,n
Epitheca_semiaquea,Corduliidae,y,n
Epitheca_sepia,Corduliidae,y,n
Epitheca_spinigera,Corduliidae,y,n
Epitheca_spinosa,Corduliidae,y,n
Epitheca_stella,Corduliidae,y,n
Erpetogomphus_compositus,Gomphidae,y,n
Erpetogomphus_crotalinus,Gomphidae,n,n
Erpetogomphus_designatus,Gomphidae,y,n
Erpetogomphus_elaps,Gomphidae,n,n
Erpetogomphus_eutainia,Gomphidae,n,n
Erpetogomphus_heterodon,Gomphidae,n,n
Erpetogomphus_lampropeltis,Gomphidae,n,n
Erythemis_attala,Libellulidae,y,n
Erythemis_collocata,Libellulidae,n,y
Erythemis_mithroides,Libellulidae,y,n
Erythemis_peruviana,Libellulidae,n,y
Erythemis_plebeja,Libellulidae,y,n
Erythemis_simplicicollis,Libellulidae,n,y
Erythemis_vesiculosa,Libellulidae,n,n
Erythrodiplax_basifusca,Libellulidae,n,y
Erythrodiplax_berenice,Libellulidae,n,y
Erythrodiplax_fervida,Libellulidae,y,n
Erythrodiplax_funerea,Libellulidae,y,y
Erythrodiplax_fusca,Libellulidae,y,y
Erythrodiplax_minuscula,Libellulidae,n,y
Erythrodiplax_umbrata,Libellulidae,y,n
Gomphaeschna_antilope,Aeshnidae,n,n
Gomphaeschna_furcillata,Aeshnidae,n,n
Gomphurus_crassus,Gomphidae,n,n
Gomphurus_dilatatus,Gomphidae,n,n
Gomphurus_externus,Gomphidae,n,y
Gomphurus_fraternus,Gomphidae,n,n
Gomphurus_gonzalezi,Gomphidae,n,n
Gomphurus_hybridus,Gomphidae,n,n
Gomphurus_lineatifrons,Gomphidae,n,n
Gomphurus_lynnae,Gomphidae,n,y
Gomphurus_modestus,Gomphidae,n,n
Gomphurus_ozarkensis,Gomphidae,n,n
Gomphurus_septima,Gomphidae,n,n
Gomphurus_vastus,Gomphidae,n,n
Gomphurus_ventricosus,Gomphidae,n,n
Gynacantha_nervosa,Aeshnidae,n,n
Hagenius_brevistylus,Gomphidae,n,n
