fitted prop,lower CI,upper CI,log.imperv,imperv
0.581473974,0.539164523,0.623783426,-6.907755279,0.001
0.582636457,0.540875654,0.62439726,-6.795919074,0.00111833
0.58379894,0.542585758,0.625012122,-6.684082868,0.001250661
0.584961423,0.544294794,0.625628051,-6.572246663,0.001398652
0.586123906,0.546002719,0.626245093,-6.460410457,0.001564154
0.587286389,0.547709485,0.626863293,-6.348574252,0.001749239
0.588448872,0.549415045,0.627482699,-6.236738046,0.001956226
0.589611355,0.551119347,0.628103362,-6.124901841,0.002187706
0.590773838,0.552822338,0.628725337,-6.013065636,0.002446576
0.59193632,0.554523961,0.62934868,-5.90122943,0.002736079
0.593098803,0.556224156,0.629973451,-5.789393225,0.003059838
0.594261286,0.55792286,0.630599713,-5.677557019,0.003421908
0.595423769,0.559620004,0.631227534,-5.565720814,0.003826821
0.596586252,0.56131552,0.631856985,-5.453884608,0.004279648
0.597748735,0.563009331,0.632488139,-5.342048403,0.004786057
0.598911218,0.564701358,0.633121078,-5.230212197,0.005352389
0.600073701,0.566391517,0.633755885,-5.118375992,0.005985736
0.601236184,0.568079719,0.634392649,-5.006539787,0.006694026
0.602398667,0.569765869,0.635031465,-4.894703581,0.007486128
0.60356115,0.571449867,0.635672432,-4.782867376,0.008371959
0.604723633,0.573131607,0.636315659,-4.67103117,0.00936261
0.605886116,0.574810974,0.636961257,-4.559194965,0.010470485
0.607048599,0.576487849,0.637609348,-4.447358759,0.011709454
0.608211081,0.578162104,0.638260059,-4.335522554,0.013095029
0.609373564,0.579833602,0.638913527,-4.223686349,0.01464456
0.610536047,0.581502199,0.639569896,-4.111850143,0.016377446
0.61169853,0.58316774,0.64022932,-4.000013938,0.018315384
0.612861013,0.584830061,0.640891966,-3.888177732,0.020482637
0.614023496,0.586488986,0.641558007,-3.776341527,0.022906341
0.615185979,0.588144328,0.642227631,-3.664505321,0.02561684
0.616348462,0.589795887,0.642901037,-3.552669116,0.028648072
0.617510945,0.591443452,0.643578438,-3.44083291,0.032037989
0.618673428,0.593086794,0.644260062,-3.328996705,0.035829034
0.619835911,0.594725671,0.64494615,-3.2171605,0.040068672
0.620998394,0.596359824,0.645636963,-3.105324294,0.044809985
0.622160877,0.597988977,0.646332777,-2.993488089,0.050112335
0.62332336,0.599612833,0.647033886,-2.881651883,0.056042111
0.624485842,0.601231079,0.647740606,-2.769815678,0.062673556
0.625648325,0.602843378,0.648453273,-2.657979472,0.070089697
0.626810808,0.604449369,0.649172247,-2.546143267,0.078383388
0.627973291,0.606048672,0.64989791,-2.434307062,0.087658468
0.629135774,0.607640878,0.65063067,-2.322470856,0.098031065
0.630298257,0.609225553,0.651370961,-2.210634651,0.109631049
0.63146074,0.610802236,0.652119245,-2.098798445,0.122603655
0.632623223,0.612370435,0.652876011,-1.98696224,0.137111305
0.633785706,0.61392963,0.653641781,-1.875126034,0.15333564
0.634948189,0.615479273,0.654417105,-1.763289829,0.171479796
0.636110672,0.61701878,0.655202563,-1.651453624,0.191770943
0.637273155,0.618547541,0.655998769,-1.539617418,0.214463135
0.638435638,0.620064912,0.656806364,-1.427781213,0.239840487
0.639598121,0.62157022,0.657626021,-1.315945007,0.268220733
0.640760604,0.623062765,0.658458442,-1.204108802,0.299959204
0.641923086,0.624541819,0.659304354,-1.092272596,0.335453277
0.643085569,0.626006633,0.660164506,-0.980436391,0.375147352
0.644248052,0.627456436,0.661039668,-0.868600185,0.419538414
0.645410535,0.628890447,0.661930624,-0.75676398,0.469182256
0.646573018,0.630307873,0.662838163,-0.644927775,0.524700437
0.647735501,0.631707924,0.663763078,-0.533091569,0.586788067
0.648897984,0.633089816,0.664706152,-0.421255364,0.656222505
0.650060467,0.634452783,0.665668151,-0.309419158,0.733873097
0.65122295,0.635796088,0.666649812,-0.197582953,0.820712057
0.652385433,0.637119031,0.667651835,-0.085746747,0.917826644
0.653547916,0.638420965,0.668674867,0.026089458,1.026432767
0.654710399,0.639701304,0.669719494,0.137925663,1.147890217
0.655872882,0.640959536,0.670786227,0.249761869,1.283719687
0.657035365,0.642195233,0.671875496,0.361598074,1.435621813
0.658197847,0.643408061,0.672987634,0.47343428,1.605498467
0.65936033,0.644597786,0.674122875,0.585270485,1.79547657
0.660522813,0.645764279,0.675281347,0.697106691,2.007934719
0.661685296,0.646907522,0.67646307,0.808942896,2.24553297
0.662847779,0.648027605,0.677667953,0.920779101,2.511246144
0.664010262,0.649124727,0.678895797,1.032615307,2.808401069
0.665172745,0.650199187,0.680146303,1.144451512,3.140718239
0.666335228,0.651251383,0.681419073,1.256287718,3.51235839
